date,store,product,sales,units_sold,avg_price,is_weekend,is_holiday,month,day_of_week,quarter
2023-01-03,Store_1_Downtown,Toys,266.81,10,25,0,0,1,1,1
2023-01-03,Store_2_Mall,Electronics,704.3,4,150,0,0,1,1,1
2023-01-03,Store_2_Mall,Apparel,540.63,12,45,0,0,1,1,1
2023-01-03,Store_2_Mall,Groceries,1362.75,113,12,0,0,1,1,1
2023-01-03,Store_2_Mall,Home & Garden,397.12,6,60,0,0,1,1,1
2023-01-03,Store_2_Mall,Sports,385.12,7,55,0,0,1,1,1
2023-01-03,Store_2_Mall,Beauty,310.85,8,35,0,0,1,1,1
2023-01-03,Store_2_Mall,Toys,233.87,9,25,0,0,1,1,1
2023-01-03,Store_3_Suburb,Electronics,663.13,4,150,0,0,1,1,1
2023-01-03,Store_3_Suburb,Apparel,461.52,10,45,0,0,1,1,1
2023-01-03,Store_3_Suburb,Groceries,956.56,79,12,0,0,1,1,1
2023-01-03,Store_3_Suburb,Home & Garden,370.07,6,60,0,0,1,1,1
2023-01-03,Store_3_Suburb,Sports,206.65,3,55,0,0,1,1,1
2023-01-03,Store_3_Suburb,Beauty,259.73,7,35,0,0,1,1,1
2023-01-03,Store_3_Suburb,Toys,201.74,8,25,0,0,1,1,1
2023-01-03,Store_4_Airport,Electronics,465.65,3,150,0,0,1,1,1
2023-01-03,Store_4_Airport,Apparel,302.75,6,45,0,0,1,1,1
2023-01-03,Store_4_Airport,Groceries,576.9,48,12,0,0,1,1,1
2023-01-03,Store_4_Airport,Home & Garden,234.73,3,60,0,0,1,1,1
2023-01-03,Store_4_Airport,Sports,217.5,3,55,0,0,1,1,1
2023-01-03,Store_4_Airport,Beauty,206.6,5,35,0,0,1,1,1
2023-01-03,Store_4_Airport,Toys,142.23,5,25,0,0,1,1,1
2023-01-04,Store_1_Downtown,Electronics,882.38,5,150,0,0,1,2,1
2023-01-04,Store_1_Downtown,Apparel,569.89,12,45,0,0,1,2,1
2023-01-04,Store_1_Downtown,Groceries,1571.82,130,12,0,0,1,2,1
2023-01-04,Store_1_Downtown,Home & Garden,495.78,8,60,0,0,1,2,1
2023-01-04,Store_1_Downtown,Sports,397.75,7,55,0,0,1,2,1
2023-01-04,Store_1_Downtown,Beauty,378.48,10,35,0,0,1,2,1
2023-01-04,Store_1_Downtown,Toys,302.91,12,25,0,0,1,2,1
2023-01-04,Store_2_Mall,Electronics,877.49,5,150,0,0,1,2,1
2023-01-04,Store_2_Mall,Apparel,464.9,10,45,0,0,1,2,1
2023-01-04,Store_2_Mall,Groceries,1160.68,96,12,0,0,1,2,1
2023-01-04,Store_2_Mall,Home & Garden,384.32,6,60,0,0,1,2,1
2023-01-04,Store_2_Mall,Sports,298.78,5,55,0,0,1,2,1
2023-01-04,Store_2_Mall,Beauty,308.88,8,35,0,0,1,2,1
2023-01-04,Store_2_Mall,Toys,256.53,10,25,0,0,1,2,1
2023-01-04,Store_3_Suburb,Electronics,640.33,4,150,0,0,1,2,1
2023-01-04,Store_3_Suburb,Apparel,390.62,8,45,0,0,1,2,1
2023-01-04,Store_3_Suburb,Groceries,824.12,68,12,0,0,1,2,1
2023-01-04,Store_3_Suburb,Home & Garden,306.54,5,60,0,0,1,2,1
2023-01-04,Store_3_Suburb,Sports,270.4,4,55,0,0,1,2,1
2023-01-04,Store_3_Suburb,Beauty,220.75,6,35,0,0,1,2,1
2023-01-04,Store_3_Suburb,Toys,196.77,7,25,0,0,1,2,1
2023-01-04,Store_4_Airport,Electronics,499.39,3,150,0,0,1,2,1
2023-01-04,Store_4_Airport,Apparel,356.59,7,45,0,0,1,2,1
2023-01-04,Store_4_Airport,Groceries,732.57,61,12,0,0,1,2,1
2023-01-04,Store_4_Airport,Home & Garden,246.18,4,60,0,0,1,2,1
2023-01-04,Store_4_Airport,Sports,208.44,3,55,0,0,1,2,1
2023-01-04,Store_4_Airport,Beauty,145.46,4,35,0,0,1,2,1
2023-01-04,Store_4_Airport,Toys,149.6,5,25,0,0,1,2,1
2023-01-05,Store_1_Downtown,Electronics,965.78,6,150,0,0,1,3,1
2023-01-05,Store_1_Downtown,Apparel,747.79,16,45,0,0,1,3,1
2023-01-05,Store_1_Downtown,Groceries,1412.3,117,12,0,0,1,3,1
2023-01-05,Store_1_Downtown,Home & Garden,494.47,8,60,0,0,1,3,1
2023-01-05,Store_1_Downtown,Sports,418.54,7,55,0,0,1,3,1
2023-01-05,Store_1_Downtown,Beauty,317.93,9,35,0,0,1,3,1
2023-01-05,Store_1_Downtown,Toys,334.28,13,25,0,0,1,3,1
2023-01-05,Store_2_Mall,Electronics,860.15,5,150,0,0,1,3,1
2023-01-05,Store_2_Mall,Apparel,539.55,11,45,0,0,1,3,1
2023-01-05,Store_2_Mall,Groceries,1090.87,90,12,0,0,1,3,1
2023-01-05,Store_2_Mall,Home & Garden,456.11,7,60,0,0,1,3,1
2023-01-05,Store_2_Mall,Sports,300.94,5,55,0,0,1,3,1
2023-01-05,Store_2_Mall,Beauty,317.61,9,35,0,0,1,3,1
2023-01-05,Store_2_Mall,Toys,304.76,12,25,0,0,1,3,1
2023-01-05,Store_3_Suburb,Electronics,576.61,3,150,0,0,1,3,1
2023-01-05,Store_3_Suburb,Apparel,377.35,8,45,0,0,1,3,1
2023-01-05,Store_3_Suburb,Groceries,969.57,80,12,0,0,1,3,1
2023-01-05,Store_3_Suburb,Home & Garden,303.89,5,60,0,0,1,3,1
2023-01-05,Store_3_Suburb,Sports,236.58,4,55,0,0,1,3,1
2023-01-05,Store_3_Suburb,Beauty,241.65,6,35,0,0,1,3,1
2023-01-05,Store_3_Suburb,Toys,178.75,7,25,0,0,1,3,1
2023-01-05,Store_4_Airport,Electronics,502.73,3,150,0,0,1,3,1
2023-01-05,Store_4_Airport,Apparel,272.42,6,45,0,0,1,3,1
2023-01-05,Store_4_Airport,Groceries,831.6,69,12,0,0,1,3,1
2023-01-05,Store_4_Airport,Home & Garden,221.2,3,60,0,0,1,3,1
2023-01-05,Store_4_Airport,Sports,203.24,3,55,0,0,1,3,1
2023-01-05,Store_4_Airport,Beauty,194.64,5,35,0,0,1,3,1
2023-01-05,Store_4_Airport,Toys,131.54,5,25,0,0,1,3,1
2023-01-06,Store_1_Downtown,Electronics,981.84,6,150,0,0,1,4,1
2023-01-06,Store_1_Downtown,Apparel,678.43,15,45,0,0,1,4,1
2023-01-06,Store_1_Downtown,Groceries,1208.52,100,12,0,0,1,4,1
2023-01-06,Store_1_Downtown,Home & Garden,488.86,8,60,0,0,1,4,1
2023-01-06,Store_1_Downtown,Sports,430.92,7,55,0,0,1,4,1
2023-01-06,Store_1_Downtown,Beauty,388.15,11,35,0,0,1,4,1
2023-01-06,Store_1_Downtown,Toys,262.89,10,25,0,0,1,4,1
2023-01-06,Store_2_Mall,Electronics,694.36,4,150,0,0,1,4,1
2023-01-06,Store_2_Mall,Apparel,526.1,11,45,0,0,1,4,1
2023-01-06,Store_2_Mall,Groceries,1235.64,102,12,0,0,1,4,1
2023-01-06,Store_2_Mall,Home & Garden,410.02,6,60,0,0,1,4,1
2023-01-06,Store_2_Mall,Sports,362.13,6,55,0,0,1,4,1
2023-01-06,Store_2_Mall,Beauty,279.6,7,35,0,0,1,4,1
2023-01-06,Store_2_Mall,Toys,255.81,10,25,0,0,1,4,1
2023-01-06,Store_3_Suburb,Electronics,658.76,4,150,0,0,1,4,1
2023-01-06,Store_3_Suburb,Apparel,371.43,8,45,0,0,1,4,1
2023-01-06,Store_3_Suburb,Groceries,1139.11,94,12,0,0,1,4,1
2023-01-06,Store_3_Suburb,Home & Garden,335.16,5,60,0,0,1,4,1
2023-01-06,Store_3_Suburb,Sports,246.64,4,55,0,0,1,4,1
2023-01-06,Store_3_Suburb,Beauty,255.76,7,35,0,0,1,4,1
2023-01-06,Store_3_Suburb,Toys,180.51,7,25,0,0,1,4,1
2023-01-06,Store_4_Airport,Electronics,517.78,3,150,0,0,1,4,1
2023-01-06,Store_4_Airport,Apparel,334.76,7,45,0,0,1,4,1
2023-01-06,Store_4_Airport,Groceries,660.91,55,12,0,0,1,4,1
2023-01-06,Store_4_Airport,Home & Garden,263.12,4,60,0,0,1,4,1
2023-01-06,Store_4_Airport,Sports,218.67,3,55,0,0,1,4,1
2023-01-06,Store_4_Airport,Beauty,194.8,5,35,0,0,1,4,1
2023-01-06,Store_4_Airport,Toys,178.45,7,25,0,0,1,4,1
2023-01-07,Store_1_Downtown,Electronics,1217.38,8,150,1,0,1,5,1
2023-01-07,Store_1_Downtown,Apparel,721.21,16,45,1,0,1,5,1
2023-01-07,Store_1_Downtown,Groceries,1705.48,142,12,1,0,1,5,1
2023-01-07,Store_1_Downtown,Home & Garden,573.09,9,60,1,0,1,5,1
2023-01-07,Store_1_Downtown,Sports,541.79,9,55,1,0,1,5,1
2023-01-07,Store_1_Downtown,Beauty,483.97,13,35,1,0,1,5,1
2023-01-07,Store_1_Downtown,Toys,400.79,16,25,1,0,1,5,1
2023-01-07,Store_2_Mall,Electronics,1126.03,7,150,1,0,1,5,1
2023-01-07,Store_2_Mall,Apparel,650.85,14,45,1,0,1,5,1
2023-01-07,Store_2_Mall,Groceries,1786.75,148,12,1,0,1,5,1
2023-01-07,Store_2_Mall,Home & Garden,506.24,8,60,1,0,1,5,1
2023-01-07,Store_2_Mall,Sports,578.77,10,55,1,0,1,5,1
2023-01-07,Store_2_Mall,Beauty,414.4,11,35,1,0,1,5,1
2023-01-07,Store_2_Mall,Toys,297.14,11,25,1,0,1,5,1
2023-01-07,Store_3_Suburb,Electronics,742.9,4,150,1,0,1,5,1
2023-01-07,Store_3_Suburb,Apparel,545.09,12,45,1,0,1,5,1
2023-01-07,Store_3_Suburb,Groceries,1220.11,101,12,1,0,1,5,1
2023-01-07,Store_3_Suburb,Home & Garden,445.7,7,60,1,0,1,5,1
2023-01-07,Store_3_Suburb,Sports,381.23,6,55,1,0,1,5,1
2023-01-07,Store_3_Suburb,Beauty,309.73,8,35,1,0,1,5,1
2023-01-07,Store_3_Suburb,Toys,237.98,9,25,1,0,1,5,1
2023-01-07,Store_4_Airport,Electronics,529.47,3,150,1,0,1,5,1
2023-01-07,Store_4_Airport,Apparel,372.59,8,45,1,0,1,5,1
2023-01-07,Store_4_Airport,Groceries,1016.16,84,12,1,0,1,5,1
2023-01-07,Store_4_Airport,Home & Garden,318.68,5,60,1,0,1,5,1
2023-01-07,Store_4_Airport,Sports,238.99,4,55,1,0,1,5,1
2023-01-07,Store_4_Airport,Beauty,238.05,6,35,1,0,1,5,1
2023-01-07,Store_4_Airport,Toys,202.51,8,25,1,0,1,5,1
2023-01-08,Store_1_Downtown,Electronics,1137.69,7,150,1,0,1,6,1
2023-01-08,Store_1_Downtown,Apparel,791.99,17,45,1,0,1,6,1
2023-01-08,Store_1_Downtown,Groceries,1882.9,156,12,1,0,1,6,1
2023-01-08,Store_1_Downtown,Home & Garden,552.68,9,60,1,0,1,6,1
2023-01-08,Store_1_Downtown,Sports,565.54,10,55,1,0,1,6,1
2023-01-08,Store_1_Downtown,Beauty,494.24,14,35,1,0,1,6,1
2023-01-08,Store_1_Downtown,Toys,432.24,17,25,1,0,1,6,1
2023-01-08,Store_2_Mall,Electronics,1149.6,7,150,1,0,1,6,1
2023-01-08,Store_2_Mall,Apparel,560.45,12,45,1,0,1,6,1
2023-01-08,Store_2_Mall,Groceries,1413.7,117,12,1,0,1,6,1
2023-01-08,Store_2_Mall,Home & Garden,546.78,9,60,1,0,1,6,1
2023-01-08,Store_2_Mall,Sports,478.38,8,55,1,0,1,6,1
2023-01-08,Store_2_Mall,Beauty,410.09,11,35,1,0,1,6,1
2023-01-08,Store_2_Mall,Toys,450.21,18,25,1,0,1,6,1
2023-01-08,Store_3_Suburb,Electronics,879.5,5,150,1,0,1,6,1
2023-01-08,Store_3_Suburb,Apparel,579.05,12,45,1,0,1,6,1
2023-01-08,Store_3_Suburb,Groceries,1367.06,113,12,1,0,1,6,1
2023-01-08,Store_3_Suburb,Home & Garden,443.1,7,60,1,0,1,6,1
2023-01-08,Store_3_Suburb,Sports,352.52,6,55,1,0,1,6,1
2023-01-08,Store_3_Suburb,Beauty,335.68,9,35,1,0,1,6,1
2023-01-08,Store_3_Suburb,Toys,239.91,9,25,1,0,1,6,1
2023-01-08,Store_4_Airport,Electronics,609.22,4,150,1,0,1,6,1
2023-01-08,Store_4_Airport,Apparel,371.07,8,45,1,0,1,6,1
2023-01-08,Store_4_Airport,Groceries,943.66,78,12,1,0,1,6,1
2023-01-08,Store_4_Airport,Home & Garden,384.22,6,60,1,0,1,6,1
2023-01-08,Store_4_Airport,Sports,222.02,4,55,1,0,1,6,1
2023-01-08,Store_4_Airport,Beauty,250.06,7,35,1,0,1,6,1
2023-01-08,Store_4_Airport,Toys,163.55,6,25,1,0,1,6,1
2023-01-09,Store_1_Downtown,Electronics,914.69,6,150,0,0,1,0,1
2023-01-09,Store_1_Downtown,Apparel,665.34,14,45,0,0,1,0,1
2023-01-09,Store_1_Downtown,Groceries,1449.26,120,12,0,0,1,0,1
2023-01-09,Store_1_Downtown,Home & Garden,428.27,7,60,0,0,1,0,1
2023-01-09,Store_1_Downtown,Sports,389.96,7,55,0,0,1,0,1
2023-01-09,Store_1_Downtown,Beauty,384.47,10,35,0,0,1,0,1
2023-01-09,Store_1_Downtown,Toys,278.09,11,25,0,0,1,0,1
2023-01-09,Store_2_Mall,Electronics,817.32,5,150,0,0,1,0,1
2023-01-09,Store_2_Mall,Apparel,502.28,11,45,0,0,1,0,1
2023-01-09,Store_2_Mall,Groceries,1121.81,93,12,0,0,1,0,1
2023-01-09,Store_2_Mall,Home & Garden,485.76,8,60,0,0,1,0,1
2023-01-09,Store_2_Mall,Sports,372.19,6,55,0,0,1,0,1
2023-01-09,Store_2_Mall,Beauty,239.25,6,35,0,0,1,0,1
2023-01-09,Store_2_Mall,Toys,254.66,10,25,0,0,1,0,1
2023-01-09,Store_3_Suburb,Electronics,597.65,3,150,0,0,1,0,1
2023-01-09,Store_3_Suburb,Apparel,434.1,9,45,0,0,1,0,1
2023-01-09,Store_3_Suburb,Groceries,883.92,73,12,0,0,1,0,1
2023-01-09,Store_3_Suburb,Home & Garden,316.33,5,60,0,0,1,0,1
2023-01-09,Store_3_Suburb,Sports,294.14,5,55,0,0,1,0,1
2023-01-09,Store_3_Suburb,Beauty,260.78,7,35,0,0,1,0,1
2023-01-09,Store_3_Suburb,Toys,175.99,7,25,0,0,1,0,1
2023-01-09,Store_4_Airport,Electronics,463.94,3,150,0,0,1,0,1
2023-01-09,Store_4_Airport,Apparel,285.75,6,45,0,0,1,0,1
2023-01-09,Store_4_Airport,Groceries,672.96,56,12,0,0,1,0,1
2023-01-09,Store_4_Airport,Home & Garden,282.37,4,60,0,0,1,0,1
2023-01-09,Store_4_Airport,Sports,218.5,3,55,0,0,1,0,1
2023-01-09,Store_4_Airport,Beauty,157.3,4,35,0,0,1,0,1
2023-01-09,Store_4_Airport,Toys,163.77,6,25,0,0,1,0,1
2023-01-10,Store_1_Downtown,Electronics,1163.73,7,150,0,0,1,1,1
2023-01-10,Store_1_Downtown,Apparel,661.95,14,45,0,0,1,1,1
2023-01-10,Store_1_Downtown,Groceries,1221.21,101,12,0,0,1,1,1
2023-01-10,Store_1_Downtown,Home & Garden,456.76,7,60,0,0,1,1,1
2023-01-10,Store_1_Downtown,Sports,473.21,8,55,0,0,1,1,1
2023-01-10,Store_1_Downtown,Beauty,334.52,9,35,0,0,1,1,1
2023-01-10,Store_1_Downtown,Toys,313.31,12,25,0,0,1,1,1
2023-01-10,Store_2_Mall,Electronics,861.97,5,150,0,0,1,1,1
2023-01-10,Store_2_Mall,Apparel,453.65,10,45,0,0,1,1,1
2023-01-10,Store_2_Mall,Groceries,1192.86,99,12,0,0,1,1,1
2023-01-10,Store_2_Mall,Home & Garden,270.35,4,60,0,0,1,1,1
2023-01-10,Store_2_Mall,Sports,314.15,5,55,0,0,1,1,1
2023-01-10,Store_2_Mall,Beauty,292.42,8,35,0,0,1,1,1
2023-01-10,Store_2_Mall,Toys,218.81,8,25,0,0,1,1,1
2023-01-10,Store_3_Suburb,Electronics,744.47,4,150,0,0,1,1,1
2023-01-10,Store_3_Suburb,Apparel,342.79,7,45,0,0,1,1,1
2023-01-10,Store_3_Suburb,Groceries,917.76,76,12,0,0,1,1,1
2023-01-10,Store_3_Suburb,Home & Garden,324.18,5,60,0,0,1,1,1
2023-01-10,Store_3_Suburb,Sports,320.36,5,55,0,0,1,1,1
2023-01-10,Store_3_Suburb,Beauty,205.54,5,35,0,0,1,1,1
2023-01-10,Store_3_Suburb,Toys,223.26,8,25,0,0,1,1,1
2023-01-10,Store_4_Airport,Electronics,480.49,3,150,0,0,1,1,1
2023-01-10,Store_4_Airport,Apparel,270.55,6,45,0,0,1,1,1
2023-01-10,Store_4_Airport,Groceries,753.27,62,12,0,0,1,1,1
2023-01-10,Store_4_Airport,Home & Garden,244.78,4,60,0,0,1,1,1
2023-01-10,Store_4_Airport,Sports,197.4,3,55,0,0,1,1,1
2023-01-10,Store_4_Airport,Beauty,181.26,5,35,0,0,1,1,1
2023-01-10,Store_4_Airport,Toys,144.22,5,25,0,0,1,1,1
2023-01-11,Store_1_Downtown,Electronics,970.9,6,150,0,0,1,2,1
2023-01-11,Store_1_Downtown,Apparel,639.73,14,45,0,0,1,2,1
2023-01-11,Store_1_Downtown,Groceries,1668.39,139,12,0,0,1,2,1
2023-01-11,Store_1_Downtown,Home & Garden,420.58,7,60,0,0,1,2,1
2023-01-11,Store_1_Downtown,Sports,509.59,9,55,0,0,1,2,1
2023-01-11,Store_1_Downtown,Beauty,289.72,8,35,0,0,1,2,1
2023-01-11,Store_1_Downtown,Toys,295.45,11,25,0,0,1,2,1
2023-01-11,Store_2_Mall,Electronics,847.07,5,150,0,0,1,2,1
2023-01-11,Store_2_Mall,Apparel,514.05,11,45,0,0,1,2,1
2023-01-11,Store_2_Mall,Groceries,1125.28,93,12,0,0,1,2,1
2023-01-11,Store_2_Mall,Home & Garden,391.68,6,60,0,0,1,2,1
2023-01-11,Store_2_Mall,Sports,332.74,6,55,0,0,1,2,1
2023-01-11,Store_2_Mall,Beauty,282.32,8,35,0,0,1,2,1
2023-01-11,Store_2_Mall,Toys,271.24,10,25,0,0,1,2,1
2023-01-11,Store_3_Suburb,Electronics,662.85,4,150,0,0,1,2,1
2023-01-11,Store_3_Suburb,Apparel,372.28,8,45,0,0,1,2,1
2023-01-11,Store_3_Suburb,Groceries,1046.36,87,12,0,0,1,2,1
2023-01-11,Store_3_Suburb,Home & Garden,329.83,5,60,0,0,1,2,1
2023-01-11,Store_3_Suburb,Sports,302.76,5,55,0,0,1,2,1
2023-01-11,Store_3_Suburb,Beauty,255.11,7,35,0,0,1,2,1
2023-01-11,Store_3_Suburb,Toys,183.42,7,25,0,0,1,2,1
2023-01-11,Store_4_Airport,Electronics,453.11,3,150,0,0,1,2,1
2023-01-11,Store_4_Airport,Apparel,322.42,7,45,0,0,1,2,1
2023-01-11,Store_4_Airport,Groceries,763.95,63,12,0,0,1,2,1
2023-01-11,Store_4_Airport,Home & Garden,239.5,3,60,0,0,1,2,1
2023-01-11,Store_4_Airport,Sports,212.46,3,55,0,0,1,2,1
2023-01-11,Store_4_Airport,Beauty,203.0,5,35,0,0,1,2,1
2023-01-11,Store_4_Airport,Toys,141.13,5,25,0,0,1,2,1
2023-01-12,Store_1_Downtown,Electronics,1012.52,6,150,0,0,1,3,1
2023-01-12,Store_1_Downtown,Apparel,587.87,13,45,0,0,1,3,1
2023-01-12,Store_1_Downtown,Groceries,1408.65,117,12,0,0,1,3,1
2023-01-12,Store_1_Downtown,Home & Garden,532.74,8,60,0,0,1,3,1
2023-01-12,Store_1_Downtown,Sports,454.67,8,55,0,0,1,3,1
2023-01-12,Store_1_Downtown,Beauty,389.29,11,35,0,0,1,3,1
2023-01-12,Store_1_Downtown,Toys,339.16,13,25,0,0,1,3,1
2023-01-12,Store_2_Mall,Electronics,801.68,5,150,0,0,1,3,1
2023-01-12,Store_2_Mall,Apparel,534.1,11,45,0,0,1,3,1
2023-01-12,Store_2_Mall,Groceries,1162.77,96,12,0,0,1,3,1
2023-01-12,Store_2_Mall,Home & Garden,412.97,6,60,0,0,1,3,1
2023-01-12,Store_2_Mall,Sports,345.44,6,55,0,0,1,3,1
2023-01-12,Store_2_Mall,Beauty,302.91,8,35,0,0,1,3,1
2023-01-12,Store_2_Mall,Toys,264.88,10,25,0,0,1,3,1
2023-01-12,Store_3_Suburb,Electronics,587.63,3,150,0,0,1,3,1
2023-01-12,Store_3_Suburb,Apparel,483.7,10,45,0,0,1,3,1
2023-01-12,Store_3_Suburb,Groceries,863.42,71,12,0,0,1,3,1
2023-01-12,Store_3_Suburb,Home & Garden,281.15,4,60,0,0,1,3,1
2023-01-12,Store_3_Suburb,Sports,312.43,5,55,0,0,1,3,1
2023-01-12,Store_3_Suburb,Beauty,259.0,7,35,0,0,1,3,1
2023-01-12,Store_3_Suburb,Toys,212.48,8,25,0,0,1,3,1
2023-01-12,Store_4_Airport,Electronics,510.16,3,150,0,0,1,3,1
2023-01-12,Store_4_Airport,Apparel,299.63,6,45,0,0,1,3,1
2023-01-12,Store_4_Airport,Groceries,655.4,54,12,0,0,1,3,1
2023-01-12,Store_4_Airport,Home & Garden,241.82,4,60,0,0,1,3,1
2023-01-12,Store_4_Airport,Sports,195.78,3,55,0,0,1,3,1
2023-01-12,Store_4_Airport,Beauty,197.55,5,35,0,0,1,3,1
2023-01-12,Store_4_Airport,Toys,147.79,5,25,0,0,1,3,1
2023-01-13,Store_1_Downtown,Electronics,880.75,5,150,0,0,1,4,1
2023-01-13,Store_1_Downtown,Apparel,580.72,12,45,0,0,1,4,1
2023-01-13,Store_1_Downtown,Groceries,1499.46,124,12,0,0,1,4,1
2023-01-13,Store_1_Downtown,Home & Garden,452.94,7,60,0,0,1,4,1
2023-01-13,Store_1_Downtown,Sports,385.47,7,55,0,0,1,4,1
2023-01-13,Store_1_Downtown,Beauty,368.77,10,35,0,0,1,4,1
2023-01-13,Store_1_Downtown,Toys,307.35,12,25,0,0,1,4,1
2023-01-13,Store_2_Mall,Electronics,759.44,5,150,0,0,1,4,1
2023-01-13,Store_2_Mall,Apparel,476.45,10,45,0,0,1,4,1
2023-01-13,Store_2_Mall,Groceries,1227.85,102,12,0,0,1,4,1
2023-01-13,Store_2_Mall,Home & Garden,342.08,5,60,0,0,1,4,1
2023-01-13,Store_2_Mall,Sports,300.74,5,55,0,0,1,4,1
2023-01-13,Store_2_Mall,Beauty,278.45,7,35,0,0,1,4,1
2023-01-13,Store_2_Mall,Toys,244.66,9,25,0,0,1,4,1
2023-01-13,Store_3_Suburb,Electronics,659.9,4,150,0,0,1,4,1
